symptom_text,urgency_label
"High fever of 104F in adult with stiff neck and painful light sensitivity",HIGH
"Rapidly spreading bright red skin infection with red streaks travelling up the arm",HIGH
"Severe agonizing flank and back pain accompanied by bloody urine and vomiting",HIGH
"Sudden severe testicular pain with swelling that started abruptly 1 hour ago",HIGH
"High fever 103F with severe confusion, disorientation, and slurred responses",HIGH
"Severe anaphylactic swelling of lips, tongue, and eyelids after eating shellfish",HIGH
"Persistent bleeding from wound that saturates through thick compression towels",HIGH
"Severe burn covering large area of leg with charred white skin and blistering",HIGH
"Acute severe headache described as the worst headache of my entire life",HIGH
"Severe unrelenting right lower quadrant abdominal pain with fever and vomiting",HIGH
"Sudden onset of double vision and inability to coordinate walking in straight line",HIGH
"Vomiting dark brown material resembling coffee grounds after severe stomach pain",HIGH
"High fever of 103F with purple pinpoint rash spreading across legs and trunk",HIGH
"Severe eye pain with cloudy cornea, halos around lights, and extreme nausea",HIGH
"Acute sudden inability to urinate for 14 hours with painful distended bladder",HIGH
"Severe diabetic ketoacidosis symptoms with sweet fruity breath and extreme lethargy",HIGH
"Severe deep laceration on forearm with exposed fat or muscle tissue",HIGH
"High fever 104F with intense rigors and hypotension feeling faint",HIGH
"Sudden acute weakness in right arm and leg making it difficult to stand up",HIGH
"Severe respiratory infection with oxygen saturation dropping to 90 percent on pulse oximeter",HIGH
"Acute severe allergic reaction with full body hives, facial swelling, and dizziness",HIGH
"Severe relentless upper abdominal pain radiating through to the back with vomiting",HIGH
"Sudden onset of slurred speech and facial drooping noticed by family member",HIGH
"Severe penetrating puncture wound to the abdomen from metal shard",HIGH
"High fever 103.8F in pregnant woman with shivering and severe backache",HIGH
"Severe uncontrollable nosebleed lasting longer than 45 minutes despite direct pressure",HIGH
"Severe jaundice with yellow eyes, dark tea colored urine, and severe right upper pain",HIGH
"Acute sudden hearing loss in right ear accompanied by severe spinning vertigo",HIGH
"Severe pain, pale cold foot, and absence of pulse in foot after leg injury",HIGH
"High fever 103F with productive rust colored sputum and rapid breathing",HIGH
"Severe head trauma with loss of memory and repeated vomiting after cycling crash",HIGH
"Acute severe pelvic pain with positive pregnancy test and dizziness",HIGH
"Severe heat stroke with core temperature 104F, hot dry skin, and delirium",HIGH
"Severe crushing headache with altered mental state and high blood pressure 200 over 110",HIGH
"Acute severe swelling of throat and difficulty swallowing saliva after bee sting",HIGH
"Severe bloody diarrhea with 10 or more episodes today, dehydration, and fever 102F",HIGH
"Acute severe joint infection with knee swollen to twice normal size and fever 103F",HIGH
"Severe sudden numbness and loss of sensation across one entire half of the body",HIGH
"Acute severe alcohol withdrawal with uncontrolled tremors, hallucinations, and fever",HIGH
"Severe persistent vomiting with sunken eyes, dry tongue, and inability to stand",HIGH
"High fever 104F following recent overseas travel with severe muscle and bone pain",HIGH
"Severe deep animal bite to face with tearing of tissue and active bleeding",HIGH
"Acute severe asthma attack with inability to speak more than two words between breaths",HIGH
"Severe chemical burn to eyes after splash accident in workshop",HIGH
"High fever 103F with severe pain over gallbladder and visible jaundice",HIGH
"Severe back pain after fall from ladder with tingling and loss of bowel control",HIGH
"Sudden onset of severe confusion and hallucinations in elderly patient with fever",HIGH
"Severe acute pancreatitis pain that is unbearable without bending forward",HIGH
"Acute carbon monoxide poisoning symptoms with cherry red lips, severe headache, and nausea",HIGH
"Severe frostbite on fingers with blackened tissue and complete numbness",HIGH
"High fever 103.5F with severe flank pain, rigors, and vomiting in diabetic patient",HIGH
"Severe acute allergic reaction with swelling around throat and rapid heartbeat",HIGH
"Severe uncontrollable bleeding from surgical incision site that soaked 4 dressings",HIGH
